Survey_wave,Location,Survey_date,Weather,Time,Period,Direction,Number_of_private_cycles,Number_of_cycle_hire_bikes,Total_cycles,Year,cycling_id
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1445 - 1500,Inter-peak (10:00-16:00),Northbound,5,2,7,2014,804
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1500 - 1515,Inter-peak (10:00-16:00),Northbound,5,1,6,2014,805
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1515 - 1530,Inter-peak (10:00-16:00),Northbound,7,0,7,2014,806
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1530 - 1545,Inter-peak (10:00-16:00),Northbound,12,0,12,2014,807
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1545 - 1600,Inter-peak (10:00-16:00),Northbound,6,2,8,2014,808
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1600 - 1615,PM peak (16:00-19:00),Northbound,4,0,4,2014,809
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1615 - 1630,PM peak (16:00-19:00),Northbound,16,3,19,2014,810
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1630 - 1645,PM peak (16:00-19:00),Northbound,10,1,11,2014,811
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1645 - 1700,PM peak (16:00-19:00),Northbound,4,0,4,2014,812
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1700 - 1715,PM peak (16:00-19:00),Northbound,12,0,12,2014,813
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1715 - 1730,PM peak (16:00-19:00),Northbound,15,1,16,2014,814
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1730 - 1745,PM peak (16:00-19:00),Northbound,13,0,13,2014,815
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1745 - 1800,PM peak (16:00-19:00),Northbound,19,2,21,2014,816
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1800 - 1815,PM peak (16:00-19:00),Northbound,12,0,12,2014,817
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1815 - 1830,PM peak (16:00-19:00),Northbound,7,1,8,2014,818
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1830 - 1845,PM peak (16:00-19:00),Northbound,12,0,12,2014,819
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1845 - 1900,PM peak (16:00-19:00),Northbound,19,1,20,2014,820
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1900 - 1915,Evening (19:00-22:00),Northbound,10,1,11,2014,821
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1915 - 1930,Evening (19:00-22:00),Northbound,5,1,6,2014,822
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1930 - 1945,Evening (19:00-22:00),Northbound,8,0,8,2014,823
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1945 - 2000,Evening (19:00-22:00),Northbound,7,2,9,2014,824
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2000 - 2015,Evening (19:00-22:00),Northbound,6,0,6,2014,825
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2015 - 2030,Evening (19:00-22:00),Northbound,5,0,5,2014,826
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2030 - 2045,Evening (19:00-22:00),Northbound,2,0,2,2014,827
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2045 - 2100,Evening (19:00-22:00),Northbound,4,1,5,2014,828
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2100 - 2115,Evening (19:00-22:00),Northbound,9,0,9,2014,829
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2115 - 2130,Evening (19:00-22:00),Northbound,4,1,5,2014,830
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2130 - 2145,Evening (19:00-22:00),Northbound,3,0,3,2014,831
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2145 - 2200,Evening (19:00-22:00),Northbound,4,0,4,2014,832
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0600 - 0615,Early Morning (06:00-07:00),Southbound,0,0,0,2014,833
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0615 - 0630,Early Morning (06:00-07:00),Southbound,2,0,2,2014,834
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0630 - 0645,Early Morning (06:00-07:00),Southbound,2,0,2,2014,835
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0645 - 0700,Early Morning (06:00-07:00),Southbound,2,0,2,2014,836
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0700 - 0715,AM peak (07:00-10:00),Southbound,1,0,1,2014,837
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0715 - 0730,AM peak (07:00-10:00),Southbound,3,1,4,2014,838
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Wet,0730 - 0745,AM peak (07:00-10:00),Southbound,5,0,5,2014,839
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0745 - 0800,AM peak (07:00-10:00),Southbound,3,0,3,2014,840
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0800 - 0815,AM peak (07:00-10:00),Southbound,8,1,9,2014,841
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0815 - 0830,AM peak (07:00-10:00),Southbound,9,2,11,2014,842
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0830 - 0845,AM peak (07:00-10:00),Southbound,9,2,11,2014,843
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0845 - 0900,AM peak (07:00-10:00),Southbound,17,1,18,2014,844
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0900 - 0915,AM peak (07:00-10:00),Southbound,16,2,18,2014,845
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0915 - 0930,AM peak (07:00-10:00),Southbound,9,2,11,2014,846
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0930 - 0945,AM peak (07:00-10:00),Southbound,6,0,6,2014,847
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),27 1 2014 12:00:00 AM,Dry,0945 - 1000,AM peak (07:00-10:00),Southbound,3,0,3,2014,848
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1000 - 1015,Inter-peak (10:00-16:00),Southbound,5,0,5,2014,849
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1015 - 1030,Inter-peak (10:00-16:00),Southbound,4,0,4,2014,850
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1030 - 1045,Inter-peak (10:00-16:00),Southbound,4,0,4,2014,851
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1045 - 1100,Inter-peak (10:00-16:00),Southbound,1,0,1,2014,852
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1100 - 1115,Inter-peak (10:00-16:00),Southbound,3,0,3,2014,853
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1115 - 1130,Inter-peak (10:00-16:00),Southbound,0,0,0,2014,854
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1130 - 1145,Inter-peak (10:00-16:00),Southbound,0,0,0,2014,855
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1145 - 1200,Inter-peak (10:00-16:00),Southbound,1,0,1,2014,856
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1200 - 1215,Inter-peak (10:00-16:00),Southbound,2,0,2,2014,857
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1215 - 1230,Inter-peak (10:00-16:00),Southbound,2,0,2,2014,858
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1230 - 1245,Inter-peak (10:00-16:00),Southbound,5,0,5,2014,859
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1245 - 1300,Inter-peak (10:00-16:00),Southbound,4,0,4,2014,860
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1300 - 1315,Inter-peak (10:00-16:00),Southbound,5,0,5,2014,861
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1315 - 1330,Inter-peak (10:00-16:00),Southbound,3,2,5,2014,862
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1330 - 1345,Inter-peak (10:00-16:00),Southbound,5,0,5,2014,863
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),29 1 2014 12:00:00 AM,Wet,1345 - 1400,Inter-peak (10:00-16:00),Southbound,6,0,6,2014,864
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1400 - 1415,Inter-peak (10:00-16:00),Southbound,2,0,2,2014,865
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1415 - 1430,Inter-peak (10:00-16:00),Southbound,8,0,8,2014,866
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1430 - 1445,Inter-peak (10:00-16:00),Southbound,6,3,9,2014,867
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1445 - 1500,Inter-peak (10:00-16:00),Southbound,6,1,7,2014,868
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1500 - 1515,Inter-peak (10:00-16:00),Southbound,10,3,13,2014,869
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1515 - 1530,Inter-peak (10:00-16:00),Southbound,7,0,7,2014,870
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1530 - 1545,Inter-peak (10:00-16:00),Southbound,11,0,11,2014,871
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1545 - 1600,Inter-peak (10:00-16:00),Southbound,14,1,15,2014,872
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Dry,1600 - 1615,PM peak (16:00-19:00),Southbound,15,1,16,2014,873
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1615 - 1630,PM peak (16:00-19:00),Southbound,26,0,26,2014,874
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1630 - 1645,PM peak (16:00-19:00),Southbound,19,2,21,2014,875
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1645 - 1700,PM peak (16:00-19:00),Southbound,20,1,21,2014,876
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1700 - 1715,PM peak (16:00-19:00),Southbound,25,0,25,2014,877
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1715 - 1730,PM peak (16:00-19:00),Southbound,49,0,49,2014,878
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1730 - 1745,PM peak (16:00-19:00),Southbound,62,1,63,2014,879
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),28 1 2014 12:00:00 AM,Wet,1745 - 1800,PM peak (16:00-19:00),Southbound,80,4,84,2014,880
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1800 - 1815,PM peak (16:00-19:00),Southbound,69,1,70,2014,881
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1815 - 1830,PM peak (16:00-19:00),Southbound,69,2,71,2014,882
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1830 - 1845,PM peak (16:00-19:00),Southbound,70,2,72,2014,883
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1845 - 1900,PM peak (16:00-19:00),Southbound,74,3,77,2014,884
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1900 - 1915,Evening (19:00-22:00),Southbound,59,3,62,2014,885
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1915 - 1930,Evening (19:00-22:00),Southbound,53,1,54,2014,886
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1930 - 1945,Evening (19:00-22:00),Southbound,42,4,46,2014,887
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Wet,1945 - 2000,Evening (19:00-22:00),Southbound,33,2,35,2014,888
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2000 - 2015,Evening (19:00-22:00),Southbound,23,3,26,2014,889
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2015 - 2030,Evening (19:00-22:00),Southbound,24,3,27,2014,890
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2030 - 2045,Evening (19:00-22:00),Southbound,21,1,22,2014,891
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2045 - 2100,Evening (19:00-22:00),Southbound,11,1,12,2014,892
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2100 - 2115,Evening (19:00-22:00),Southbound,17,0,17,2014,893
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2115 - 2130,Evening (19:00-22:00),Southbound,22,2,24,2014,894
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2130 - 2145,Evening (19:00-22:00),Southbound,5,1,6,2014,895
2014 Q1 (January-March),Albert Embankment (south of Salamanca Street),30 1 2014 12:00:00 AM,Dry,2145 - 2200,Evening (19:00-22:00),Southbound,9,4,13,2014,896
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0600 - 0615,Early Morning (06:00-07:00),Eastbound,1,0,1,2014,897
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0615 - 0630,Early Morning (06:00-07:00),Eastbound,11,2,13,2014,898
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0630 - 0645,Early Morning (06:00-07:00),Eastbound,15,1,16,2014,899
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0645 - 0700,Early Morning (06:00-07:00),Eastbound,16,0,16,2014,900
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0700 - 0715,AM peak (07:00-10:00),Eastbound,28,0,28,2014,901
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0715 - 0730,AM peak (07:00-10:00),Eastbound,30,4,34,2014,902
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0730 - 0745,AM peak (07:00-10:00),Eastbound,36,3,39,2014,903
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0745 - 0800,AM peak (07:00-10:00),Eastbound,48,4,52,2014,904
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0800 - 0815,AM peak (07:00-10:00),Eastbound,77,7,84,2014,905
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0815 - 0830,AM peak (07:00-10:00),Eastbound,59,11,70,2014,906
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0830 - 0845,AM peak (07:00-10:00),Eastbound,58,10,68,2014,907
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0845 - 0900,AM peak (07:00-10:00),Eastbound,66,12,78,2014,908
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0900 - 0915,AM peak (07:00-10:00),Eastbound,33,2,35,2014,909
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0915 - 0930,AM peak (07:00-10:00),Eastbound,22,9,31,2014,910
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0930 - 0945,AM peak (07:00-10:00),Eastbound,15,5,20,2014,911
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0945 - 1000,AM peak (07:00-10:00),Eastbound,9,3,12,2014,912
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1000 - 1015,Inter-peak (10:00-16:00),Eastbound,11,5,16,2014,913
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1015 - 1030,Inter-peak (10:00-16:00),Eastbound,6,2,8,2014,914
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1030 - 1045,Inter-peak (10:00-16:00),Eastbound,5,2,7,2014,915
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1045 - 1100,Inter-peak (10:00-16:00),Eastbound,1,1,2,2014,916
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1100 - 1115,Inter-peak (10:00-16:00),Eastbound,8,3,11,2014,917
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1115 - 1130,Inter-peak (10:00-16:00),Eastbound,5,0,5,2014,918
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1130 - 1145,Inter-peak (10:00-16:00),Eastbound,6,0,6,2014,919
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1145 - 1200,Inter-peak (10:00-16:00),Eastbound,10,1,11,2014,920
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1200 - 1215,Inter-peak (10:00-16:00),Eastbound,12,3,15,2014,921
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1215 - 1230,Inter-peak (10:00-16:00),Eastbound,6,3,9,2014,922
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1230 - 1245,Inter-peak (10:00-16:00),Eastbound,9,1,10,2014,923
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1245 - 1300,Inter-peak (10:00-16:00),Eastbound,9,3,12,2014,924
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1300 - 1315,Inter-peak (10:00-16:00),Eastbound,13,1,14,2014,925
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1315 - 1330,Inter-peak (10:00-16:00),Eastbound,15,0,15,2014,926
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1330 - 1345,Inter-peak (10:00-16:00),Eastbound,7,2,9,2014,927
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,1345 - 1400,Inter-peak (10:00-16:00),Eastbound,8,1,9,2014,928
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1400 - 1415,Inter-peak (10:00-16:00),Eastbound,10,1,11,2014,929
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1415 - 1430,Inter-peak (10:00-16:00),Eastbound,11,0,11,2014,930
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1430 - 1445,Inter-peak (10:00-16:00),Eastbound,8,1,9,2014,931
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1445 - 1500,Inter-peak (10:00-16:00),Eastbound,16,0,16,2014,932
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1500 - 1515,Inter-peak (10:00-16:00),Eastbound,7,0,7,2014,933
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1515 - 1530,Inter-peak (10:00-16:00),Eastbound,8,2,10,2014,934
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1530 - 1545,Inter-peak (10:00-16:00),Eastbound,12,2,14,2014,935
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1545 - 1600,Inter-peak (10:00-16:00),Eastbound,9,1,10,2014,936
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1600 - 1615,PM peak (16:00-19:00),Eastbound,18,0,18,2014,937
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1615 - 1630,PM peak (16:00-19:00),Eastbound,15,1,16,2014,938
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1630 - 1645,PM peak (16:00-19:00),Eastbound,14,1,15,2014,939
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1645 - 1700,PM peak (16:00-19:00),Eastbound,19,1,20,2014,940
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1700 - 1715,PM peak (16:00-19:00),Eastbound,16,2,18,2014,941
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1715 - 1730,PM peak (16:00-19:00),Eastbound,22,4,26,2014,942
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1730 - 1745,PM peak (16:00-19:00),Eastbound,36,1,37,2014,943
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1745 - 1800,PM peak (16:00-19:00),Eastbound,46,5,51,2014,944
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1800 - 1815,PM peak (16:00-19:00),Eastbound,53,4,57,2014,945
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1815 - 1830,PM peak (16:00-19:00),Eastbound,44,4,48,2014,946
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1830 - 1845,PM peak (16:00-19:00),Eastbound,40,3,43,2014,947
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1845 - 1900,PM peak (16:00-19:00),Eastbound,37,2,39,2014,948
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1900 - 1915,Evening (19:00-22:00),Eastbound,36,3,39,2014,949
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1915 - 1930,Evening (19:00-22:00),Eastbound,25,2,27,2014,950
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1930 - 1945,Evening (19:00-22:00),Eastbound,23,2,25,2014,951
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,1945 - 2000,Evening (19:00-22:00),Eastbound,24,2,26,2014,952
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,2000 - 2015,Evening (19:00-22:00),Eastbound,18,0,18,2014,953
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,2015 - 2030,Evening (19:00-22:00),Eastbound,19,0,19,2014,954
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,2030 - 2045,Evening (19:00-22:00),Eastbound,17,1,18,2014,955
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,2045 - 2100,Evening (19:00-22:00),Eastbound,11,0,11,2014,956
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,2100 - 2115,Evening (19:00-22:00),Eastbound,8,0,8,2014,957
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,2115 - 2130,Evening (19:00-22:00),Eastbound,5,0,5,2014,958
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,2130 - 2145,Evening (19:00-22:00),Eastbound,6,0,6,2014,959
2014 Q1 (January-March),Strand,27 1 2014 12:00:00 AM,Wet,2145 - 2200,Evening (19:00-22:00),Eastbound,2,0,2,2014,960
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0600 - 0615,Early Morning (06:00-07:00),Westbound,2,0,2,2014,961
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0615 - 0630,Early Morning (06:00-07:00),Westbound,10,1,11,2014,962
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0630 - 0645,Early Morning (06:00-07:00),Westbound,9,3,12,2014,963
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0645 - 0700,Early Morning (06:00-07:00),Westbound,5,0,5,2014,964
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0700 - 0715,AM peak (07:00-10:00),Westbound,14,2,16,2014,965
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0715 - 0730,AM peak (07:00-10:00),Westbound,20,3,23,2014,966
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0730 - 0745,AM peak (07:00-10:00),Westbound,23,5,28,2014,967
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0745 - 0800,AM peak (07:00-10:00),Westbound,20,6,26,2014,968
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0800 - 0815,AM peak (07:00-10:00),Westbound,19,7,26,2014,969
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0815 - 0830,AM peak (07:00-10:00),Westbound,30,5,35,2014,970
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0830 - 0845,AM peak (07:00-10:00),Westbound,53,9,62,2014,971
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0845 - 0900,AM peak (07:00-10:00),Westbound,37,8,45,2014,972
2014 Q1 (January-March),Strand,28 1 2014 12:00:00 AM,Dry,0900 - 0915,AM peak (07:00-10:00),Westbound,28,5,33,2014,973
